t,a,wc,uwc,ewc,cpc,hc,sc,fc,ac
leveled brendan feel deployment terrified,3,0.156,0,0,0,0,0,0,0.2
feel completely helpless right,3,0.125,0,0,0,0.25,0.25,0,0.25
feel pressured society fall deeply love think commitment,3,0.25,0,0,0,0.125,0,0,0
guess deep feeling little confused,3,0.156,0,0,0,0,0,0,0
feel scared swim thinking die amp learn driving thinking meet accident sure,3,0.375,0,0,0,0,0.167,0.083,0.25
m cry baby feel helpless n jus cry,3,0.25,0,0,0,0.125,0.375,0,0.125
nt believe ve actually hung time post feel nervous dorky,3,0.312,0,0,0,0,0,0,0.1
feel kind uptight like downer people m,3,0.219,0,0,0,0.286,0,0,0
feel like m constantly paranoid debbie said,3,0.219,0,0.143,0,0.143,0,0,0.143
d feel like going puke afraid hurt nt upright pain,3,0.312,0,0,0,0.1,0.2,0.1,0.3
heavy heartbeat high blood pressure getting treated soon kinda feels like feel pulse throughought legs arms feeling kinda shaky,3,0.594,0,0,0,0.105,0,0.053,0.105
right feel petrified pmandrew,3,0.125,0,0,0,0,0,0,0.25
feel like cusp joining cult mac hesitant,3,0.219,0,0,0,0.143,0,0,0.143
feel helpless sad face pain s weathered short life,3,0.281,0,0,0,0,0.333,0,0.222
speaking large group people,3,0.125,0,0,0,0,0,0,0
spent couple days feeling bit restless kept busy cleaning organizing etc,3,0.344,0,0.091,0,0,0,0,0
feel little tortured lost,3,0.125,0,0,0,0,0.5,0.25,0.25
feel like m indecisive,3,0.125,0,0,0,0.25,0,0,0
feel uptight resentful nt understand busy,3,0.188,0,0,0,0,0.167,0.167,0
feel find click way feel woman actually act like wants afraid woman,3,0.375,0,0,0,0.083,0,0,0.083
feel restless know close eyes right ill wake midnight,3,0.281,0,0.111,0,0.111,0.111,0,0.111
course moment feel slightly anxious,3,0.156,0,0,0,0,0,0,0.2
feel restless,3,0.062,0,0,0,0,0,0,0
feeling bit apprehensive run framework lack training jamming,3,0.25,0,0,0,0,0,0,0.125
nt think clearly feel pressured decisions,3,0.188,0,0,0,0,0,0,0
feel vulnerable real raw blog,3,0.156,0,0,0,0,0,0,0.2
love sounds like lots wo nt feel pressured choose profile nt magical feeling,3,0.406,0,0,0,0.231,0,0,0
t help feel bit doubtful bristol city council involved,3,0.281,0,0,0,0,0,0,0
dream feel hesitant stare lovely woman,3,0.188,0,0,0,0.333,0,0,0
attack savagely abandon feel threatened,3,0.156,0,0,0,0,0.4,0.6,0.8
need assertive thing learned open feel shy guess path journlaist,3,0.312,0,0,0,0,0,0,0
feel confused m supposed react,3,0.156,0,0,0,0,0,0,0
feel anxious nervous uncertain moving forward,3,0.188,0,0,0,0,0,0,0.333
feel hesitant talking,3,0.094,0,0,0,0,0,0,0
feel weird,3,0.062,0,0,0,0,0,0,0
m feeling like lamb unsure use recipe try lamb barbecue,3,0.312,0,0,0,0.1,0,0,0
think good nt leave feeling unsure,3,0.188,0,0,0,0.167,0,0,0
m glad feel vulnerable burdensome current restrictions,3,0.219,0,0,0,0.143,0.143,0,0.143
wish d feel shy respond doubt quality comments listen politely,3,0.312,0,0,0,0,0,0,0
feeling shaky low strike ball,3,0.156,0,0,0,0,0,0.2,0
m things feels strange hand responsibility feels great,3,0.25,0,0,0,0.125,0,0,0
m sure lot graduates feeling unsure futures people position,3,0.281,0,0,0,0.111,0,0,0
feel like m weird dreamworld absolutely,3,0.188,0,0,0,0.167,0,0,0
know feeling little intimidated,3,0.125,0,0,0,0,0,0.25,0.25
feeling restless went san francisco,3,0.156,0,0,0,0,0,0,0
creepy feeling hesitant vulnerable position presence,3,0.188,0,0,0,0.167,0,0,0.167
feel threatened world wants fight burning fire heaven use words knives poison tipped spears retaliation,3,0.469,0,0,0,0.067,0.067,0.333,0.333
feel tortured right,3,0.094,0,0,0,0,0.333,0.333,0.333
feel properly unsure,3,0.094,0,0,0,0,0,0,0
felt period years feel insecure,3,0.156,0,0.2,0,0,0.2,0,0
feel paranoid ve told stop communication nt like ignore youtube,3,0.312,0,0,0,0.1,0,0,0.1
nt know feeling paranoid,3,0.125,0,0,0,0,0,0,0.25
want feel tingle nipples tortured couple minutes earlier,3,0.25,0,0.125,0,0,0.125,0.125,0.125
end feeling like frantic fool end,3,0.188,0,0,0,0.167,0.167,0,0.167
ve learnt lesson m enjoying feeling inhibited way amp sharing exactly feel means hell lot,3,0.469,0,0,0,0,0.067,0.067,0.067
nt mean bloody sunshine roses nt feel extremely uncomfortable scared unprepared god dammit wanted badly getting fucking happy grateful happening,3,0.625,0,0,0,0.2,0.05,0.2,0.15
realised tonight feel afraid judged,3,0.156,0,0.2,0,0,0,0,0.2
probably walked right away program started feel values beliefs completely shaken,3,0.344,0,0,0,0.091,0,0,0
start feel little anxious disconnected work try think artwork writing,3,0.312,0,0,0,0,0,0,0.1
m afraid deepen feelings coz m afraid hurt,3,0.25,0,0,0,0,0.125,0.125,0.375
uneasy feeling feel insanely uncomfortable,3,0.156,0,0,0,0,0.2,0.2,0.2
feel overwhelmed think country suffering,3,0.156,0,0,0,0,0.4,0,0.2
t tell dreaming s personal personal feel tortured fear shame dread worry,3,0.375,0,0,0,0.083,0.417,0.25,0.333
admit feel bit strange swatting mosquitos writing christmas post eaten alive nice boxful cards ready minute rush,3,0.531,0,0,0,0.118,0,0,0
feel want badly m terrified hate,3,0.188,0,0,0,0,0.167,0.333,0.5
m discussion meeting feel reluctant admit certain character defects giving trouble,3,0.344,0,0,0,0,0,0,0
feel scared talking girls feel angry nt money pay right allows core issue helps understand feelings arguing,3,0.531,0,0,0,0.059,0,0.176,0.059
know feeling distressed happenings boston,3,0.156,0,0,0,0,0.2,0,0.2
feel like strange addictions intervention,3,0.156,0,0,0,0.2,0,0,0
need person gives courage feel timid,3,0.188,0,0,0,0,0,0,0
feeling apprehensive adventure wondered d horribly place shape fortunately proved nice time,3,0.375,0,0,0,0.167,0,0.083,0.167
feel strange fluttering chest exhale,3,0.156,0,0,0,0,0,0,0
got feeling frightened thinking actually believe particular,3,0.219,0,0,0,0,0.143,0,0.143
feeling doubtful,3,0.062,0,0,0,0,0,0,0
extremely excited shipping days m sure like poolee feeling little reluctant,3,0.344,0,0.091,0,0.182,0,0,0
walking night,3,0.062,0,0,0,0,0,0,0
feeling terrified prospect finding honest company,3,0.188,0,0,0,0,0,0,0.167
feel afraid danger,3,0.094,0,0,0,0,0.333,0,0.667
look skip feeling kind bashful,3,0.156,0,0,0,0.2,0,0,0
definitely feel strange today nt tell herx bad day,3,0.281,0,0.111,0,0,0,0.111,0.111
feel frightened wary angry sad lost confused scared,3,0.25,0,0,0,0,0.375,0.25,0.25
nt explanation know like feel vulnerable,3,0.188,0,0,0,0.167,0,0,0.167
don t risk feeling vulnerable feeling staring examining little dimple thigh sag arm,3,0.406,0,0,0,0,0,0.077,0.231
nt want legs feel left tortured scream pain,3,0.25,0,0,0,0,0.25,0.25,0.375
lay awake longer wanted feeling apprehensive,3,0.188,0,0,0,0,0,0,0.167
hate feel pressured,3,0.094,0,0,0,0,0.333,0.333,0.333
woke morning feeling shaky dizzy,3,0.156,0,0.2,0,0,0,0,0
feel insecure span style color adf font size pt line height mso bidi font size,3,0.469,0,0,0,0,0.067,0,0
ve feeling strangely agitated long way,3,0.188,0,0,0,0,0.167,0.167,0
spoiled friends know feel uncomfortable knowing accept gift gracefully books fandom goods compliment,3,0.406,0,0,0,0.385,0,0,0
stage nervous feeling timid nt suggestions point night realized laughed,3,0.312,0,0,0,0.1,0,0,0.1
ve enjoyed experience feeling apprehensive,3,0.156,0,0,0,0,0,0,0.2
need carte blanche going park way home work feel like suspicious loiterer,3,0.375,0,0,0,0.167,0,0,0
confirmed place june t remember time feeling pretty uncertain feeling huge pressure commit numerous people asking,3,0.5,0,0.062,0,0,0,0,0
afraid feel uncertain,3,0.094,0,0,0,0,0,0,0.333
kind feeling edge feeling bit paranoid,3,0.188,0,0,0,0.167,0,0,0.167
realize higher purpose instead trying fit big box think want life feels like shaky ground young nt follow career path ill figure,3,0.688,0,0,0,0.045,0.045,0.045,0.045
feel like administrator likes skeptical,3,0.156,0,0,0,0.4,0,0,0
come thing think called comfortable silence need fill moment banter enjoy silence room feel uncomfortable,3,0.469,0,0,0,0.067,0,0,0
want day feel insecure appearance,3,0.156,0,0,0,0,0.2,0,0
m feeling pressured eat like m diet ill comply,3,0.281,0,0,0,0.111,0.111,0,0.111
d feel shy reason thinking actor character saw particular thing moment,3,0.344,0,0,0,0,0,0,0
nt m afraid certain feelings bet afraid getting heart broken honestly kind inevitable,3,0.406,0,0,0,0.154,0.077,0,0.231
think like stay home puzzles read watch tv find actually bored feeling restless happens,3,0.438,0,0,0,0.143,0,0,0
fly home found feeling restless bored good recipe happy plane trip,3,0.344,0,0,0,0.273,0,0,0
feel skeptical knows god miracles,3,0.156,0,0,0,0.4,0,0,0
trust s feeling gets overwhelmed think logically,3,0.219,0,0,0,0,0.143,0,0
dimensional friendship feel strange trying break friendship formula set qualities,3,0.312,0,0,0,0.2,0,0,0
m feeling little paranoid,3,0.125,0,0,0,0,0,0,0.25
don t feel reluctant watch feel apologize,3,0.219,0,0,0,0,0,0,0
find seeking feeling days frantic sort way tends anxiety worse better,3,0.344,0,0.091,0,0,0.091,0,0.182
met new girl m feeling shy think try woo pants gluten free cookies,3,0.406,0,0,0,0.077,0,0,0
don t feel pressured live lofty presentation life succumb lesser perspectives,3,0.344,0,0,0,0.091,0,0,0
feel petrified want fight flight freeze,3,0.188,0,0,0,0,0,0.167,0.333
feel overwhelmed having figure come having provide resources training gauging office politics,3,0.375,0,0,0,0,0.083,0,0
feeling bit distraught try,3,0.125,0,0,0,0,0.25,0,0
checked things went feeling extremely startled feeling physically kicked right stomach,3,0.344,0,0,0,0,0,0.091,0
rarely felt disoriented hardly feeling startled awake outside noisy bar wondering gotten feeling strikes page read joyce,3,0.531,0,0.059,0,0.059,0,0.059,0
ve gone seasons feeling reluctant start beginning tell story awkward phase getting know person,3,0.438,0,0,0,0,0,0,0
find feel reluctant care,3,0.125,0,0,0,0,0,0,0
city usual home feel restless,3,0.156,0,0,0,0.2,0,0,0
feel completly frantic dones flowing like wine,3,0.219,0,0,0,0.286,0,0,0.143
feeling somewhat apprehensive having instructor witness defend,3,0.219,0,0,0,0,0,0,0.143
feel hesitant don t experience programming,3,0.188,0,0,0,0,0,0,0
feel like kind limbo unsure,3,0.156,0,0,0,0.4,0,0,0
reading sleeping trying feel restless trying honour importance relaxation rest,3,0.312,0,0,0,0.1,0,0,0
feel increasingly frantic,3,0.094,0,0,0,0,0,0,0.333
feel lds people uptight investigator mormons know means wanted ask questions religion scared approach fear getting kicked horse,3,0.562,0,0,0,0,0.056,0.167,0.111
nt feel overwhelmed,3,0.094,0,0,0,0,0.333,0,0
feel neurotic like woody allen says tyler,3,0.219,0,0,0,0.143,0,0,0.143
feel insecure handling lumia highly recommend case protector order provide handling confidence,3,0.375,0,0,0,0.083,0.083,0,0
feel apprehensive excited think lot fun hard work,3,0.25,0,0,0,0.25,0,0,0.125
feel little skeptical actually time m curious attempting work story,3,0.312,0,0,0,0,0,0,0
m feeling frightened ll slip away days complete blur pont asked ve probably nt tell honestly nt remember feeling shitty time,3,0.656,0,0.048,0,0.048,0.095,0,0.048
feel frantic sudden,3,0.094,0,0,0,0,0,0,0.333
look forward frequent vids don t feel pressured,3,0.25,0,0,0,0,0,0,0
feeling agitated,3,0.062,0,0,0,0,0,0.5,0
happy way things going constantly feeling uptight minor things like room untidy length time touches moves things outbursts anger feel nt control,3,0.688,0,0,0,0.091,0.045,0.091,0.045
m feeling doubtful worried future wonder strong faith,3,0.25,0,0,0,0.25,0.125,0,0.125
deal feelings plus dealing weird thing going,3,0.219,0,0,0,0,0,0,0
thought feeling way startled find wasn t,3,0.219,0,0,0,0,0,0,0
feeling got feeling overwhelmed increasing sense melancholy vulnerability,3,0.25,0,0,0,0,0.25,0,0.125
cry children feel overwhelmed moment s notice,3,0.219,0,0,0,0,0.286,0,0
started feel agitated restless,3,0.125,0,0,0,0,0,0.25,0
m trying decipher feelings realized reason m hesitant wanted dog,3,0.312,0,0,0,0,0,0,0
understand act feeling overwhelmed,3,0.125,0,0,0,0,0.25,0,0
copied pasted message feeling distraught,3,0.156,0,0,0,0,0.2,0,0
feel litte shaken point,3,0.125,0,0,0,0,0,0,0
reacted based feeling scared mad trying act logic bullshit,3,0.281,0,0,0,0,0.111,0.222,0.222
feeling apprehensive outside night episode noticed choosing stay inside lot night,3,0.344,0,0,0,0,0,0,0.091
overcome heat started feeling weird,3,0.156,0,0,0,0,0,0.2,0
hope live standard right m feeling bro shaken,3,0.25,0,0,0,0.125,0,0,0
sat staring ceiling feeling helpless mind,3,0.188,0,0,0,0,0.167,0,0.167
think months feel pressured,3,0.125,0,0.25,0,0,0,0,0
suppose pump gas reason feel intimidated pump relied russell service pump gas,3,0.375,0,0,0,0.25,0,0.083,0.083
want talk sad dominantly come blog feel pressured sad pretty talk random things run,3,0.438,0,0,0,0,0.143,0.071,0.071
driver know located landed hotel looking feeling shaken,3,0.25,0,0,0,0,0,0,0
feel scared shout kick punch throw ground ask,3,0.25,0,0,0,0,0,0.5,0.25
feel inhibited interacting,3,0.094,0,0,0,0,0,0,0
nt mean hurt feelings skeptical comment apologize,3,0.219,0,0,0,0,0.143,0.143,0.143
feel like m m feeling little afraid,3,0.219,0,0,1,0.143,0,0,0.143
feel fearful imagining worst,3,0.125,0,0,0,0,0.25,0.25,0.25
actually feeling skeptical situation,3,0.125,0,0,0,0,0,0,0
left feeling uncertain feelings especially nt high hug night,3,0.281,0,0,0,0.111,0,0,0
find miss time find feeling agitated calm dealing issues arise,3,0.312,0,0,0,0,0.1,0.1,0
read stories grand jury testimony alleged abusers msgr lynns feel shaken bit betrayed,3,0.406,0,0,0,0,0.154,0.231,0.077
t help feel suspicious played,3,0.156,0,0,0,0.2,0,0,0
remember time tired way world remember feeling reluctant incarnate,3,0.281,0,0,0,0,0,0,0
feel fearful small tasks avoid,3,0.156,0,0,0,0,0.2,0.2,0.2
feel frightened lost,3,0.094,0,0,0,0,0.667,0,0.333
reading story got feeling manager girls terribly distraught fiasco,3,0.281,0,0,0,0,0.222,0.111,0.111
car screaming pain like nt come m ok feel helpless fucking nightmare,3,0.375,0,0,0,0.083,0.167,0.083,0.333
find hands feels strange,3,0.125,0,0,0,0,0,0,0
continue new year hope people feel inhibited worried coming,3,0.281,0,0.111,0,0.111,0.111,0,0.111
seriously feel uncomfortable,3,0.094,0,0,0,0,0,0,0
born today likely feel intimidated computers wary abuse,3,0.25,0,0.125,0,0.125,0.125,0.25,0.25
feeling agitated easily,3,0.094,0,0,0,0,0,0.333,0
feel terrified lose progress gained,3,0.156,0,0,0,0,0.2,0,0.2
feel eiffel indecisive moment,3,0.125,0,0,0,0,0,0,0
feel overwhelmed want stop break,3,0.156,0,0,0,0,0.2,0,0
don t believe trying attain perfect health eating leave feeling fearful guilty,3,0.375,0,0,0,0.083,0.167,0.167,0.083
feel unsure step speeding train,3,0.156,0,0,0,0,0,0,0
start contemplating possibility fortunate life people takes effort feel weird socially awkward,3,0.375,0,0,0,0.083,0,0,0
started feeling uncomfortable,3,0.094,0,0,0,0,0,0,0
feel like nervous excited welcoming bryce family husbands work baby shower got needed things,3,0.438,0,0,0,0.357,0,0,0.071
remember pregnant feeling anxious thought having boy,3,0.219,0,0,0,0,0,0,0.143
feel remembrance strange justin aryiku falls category,3,0.219,0,0,0,0,0,0,0
encourage speak fear talk look like feel like fears accomplishments afraid judged laughed,3,0.406,0,0,0,0.385,0.154,0.154,0.231
m feeling shaken shitty expect words gratitude healing maybe humor stop freaking,3,0.375,0,0,0,0.167,0.083,0,0.083
nt feel frantic anymore increasingly excited future,3,0.219,0,0,0,0.143,0,0,0.143
m feeling apprehensive know answer ve searching long,3,0.25,0,0,0,0,0.125,0,0.125
began realize feeling agitated restless thought dishes,3,0.219,0,0,0,0,0,0.143,0
feel anxious s muted use tools therapy challenge feelings,3,0.281,0,0,0,0,0,0,0.111
shake leave feeling completely utterly terrified,3,0.188,0,0,0,0.167,0,0,0.333
moving feeling anxious anxieties trying learn appreciate,3,0.219,0,0,0,0.143,0.143,0,0.286
dislike big shows masculinity primal reasons men asserting dominant members tribe feel intimidated instead translate feeling uncomfortableness irritation like,3,0.594,0,0,0,0.053,0.053,0.158,0.105
feeling helpless panic,3,0.094,0,0,0,0,0.333,0,0.667
don t know feels like love m starting scared don t actually love,3,0.406,0,0,0,0.231,0,0.077,0.077
woke morning feeling hesitant allowing circulation specific heart whisper,3,0.281,0,0.111,0,0.111,0,0,0
feeling suspicious don t know react remove suspicion,3,0.25,0,0,0,0,0,0,0
think okay feeling doubtful,3,0.125,0,0,0,0,0,0,0
feel attachment job makes hesitant leave,3,0.188,0,0,0,0,0,0,0
met fellow enthusiasts high school nt feel threatened,3,0.25,0,0,0,0.125,0,0.125,0.125
taken journey couple times m travelling train tend feel nervous stressed,3,0.344,0,0,0,0,0,0,0.182
feel agitated lewis black appears comedy routines,3,0.219,0,0,0,0,0,0.143,0
feel pressured knowing needs travel thousands miles doubt post office weekend,3,0.344,0,0.091,0,0,0,0,0
feel uncomfortable terrible die,3,0.125,0,0,0,0,0.5,0.25,0.5
feel paranoid feel sorry,3,0.125,0,0,0,0,0,0,0.25
nt feel alarmed doctors presence completely ease woke find holding stopping falling,3,0.375,0,0,0,0.083,0,0,0.083
feel like come shaken,3,0.125,0,0,0,0.25,0,0,0
feel bit nervous heading spell hq store admire team inspired presence special thing,3,0.406,0,0,0,0.231,0,0,0.077
subjects term afraid fail result grade d,3,0.219,0,0,0,0,0.143,0,0.286
feel insecure angry reality,3,0.125,0,0,0,0,0.25,0.25,0
nt help feeling little intimidated leggy gazelle like creatures,3,0.281,0,0,0,0.111,0,0.111,0.111
work getting stressed moment ve feeling bit unsure general,3,0.281,0,0,0,0,0,0,0.111
feel like world suspicious,3,0.125,0,0,0,0.25,0,0,0
feel inhibited old,3,0.094,0,0,0,0,0,0,0
feel unsure anderson,3,0.094,0,0,0,0,0,0,0
promise clients continue late delivery unknown truck location problem like feel reluctant buy merchandise time,3,0.469,0,0,0,0.067,0,0,0
feel distressed fight boyfriend don t like,3,0.219,0,0,0,0.143,0.143,0.143,0.286
justified feeling scared worried,3,0.125,0,0,0,0,0.25,0.25,0.5
look suddenly feel nervous,3,0.125,0,0,0,0,0,0,0.25
face issues feeling shy points wanting nice polite people,3,0.281,0,0,0,0,0,0,0
d feel bit hesitant know matter sure comparing d affected faster,3,0.344,0,0,0,0.091,0,0,0
feel doubtful nurturing nature humans,3,0.156,0,0,0,0.2,0,0,0
nt know unknown gets discomfort feel weird cold sterile environment,3,0.312,0,0,0,0,0.1,0,0
feel like things need shaken,3,0.156,0,0,0,0.2,0,0,0
feel frightened future,3,0.094,0,0,0,0,0.333,0,0.333
nt imagine feeling helpless terrified step outside,3,0.219,0,0,0,0,0.143,0,0.286
shock right feel afraid having playing game seeing evil things connected,3,0.344,0,0,0,0.091,0.091,0.091,0.273
follow cover way feel bit disorientated unsure m path straying verge,3,0.344,0,0,0,0,0,0,0
feel paranoid guys going think draw certain cards purpose suit agenda,3,0.344,0,0,0,0,0,0,0.091
nt need gifts know loved doubt feel suspicious gift flowers bought especially randomly like picking bouquet bright cheery picking weeks worth ingredients meals,3,0.719,0,0.043,0,0.217,0,0,0
nt like attack personal m hot feel threatened,3,0.25,0,0,0,0.125,0.125,0.375,0.25
m feeling anxious sad tommy leaving day business trip coming week,3,0.344,0,0.182,0,0,0.091,0,0.091
fear left bus depot night problems place,3,0.219,0,0,0,0,0.143,0.143,0.143
becuase moniter myspace like hawks feel inhibited able emotions,3,0.281,0,0,0,0.111,0,0,0
remember feeling hesitant little afraid,3,0.156,0,0,0,0,0,0,0.2
feeling bureaucrat afraid risks,3,0.125,0,0,0,0,0,0,0.5
nt sing nt feel like terrified important distinction,3,0.25,0,0,0,0.25,0,0,0.125
feel like ve reached spot want start putting tortured history moving fulfill dreams potential,3,0.438,0,0,0,0.214,0.071,0.071,0.071
know feel gravity uncertain promise adjusts place childhood adulthood,3,0.281,0,0,0,0,0,0,0
went walking path started feeling incredibly apprehensive tight,3,0.25,0,0,0,0,0,0,0.125
know emotional support m feeling afraid going bike know team carry stuff don t feel ready bike gear,3,0.562,0,0,0,0,0,0,0.056
started feel nervous,3,0.094,0,0,0,0,0,0,0.333
suffered having large diversity interests wanting write introspectively feeling overly insecure write actual quality,3,0.438,0,0,0,0,0.143,0,0.071
nt imagine contractions feel like m terrified m going tear c section induced epidural work correctly,3,0.5,0,0,0,0.062,0.062,0,0.062
nt help m feeling nervous unready immature,3,0.219,0,0,0,0,0,0,0.143
feel skeptical try sabotage comfort sad,3,0.188,0,0,0,0.167,0.167,0.167,0.167
t fight feeling longer m afraid let flow,3,0.25,0,0,0,0,0,0.125,0.25
feel uncertain discern,3,0.094,0,0,0,0,0,0,0
smile feel think people wo nt suspicious m smiling look,3,0.312,0,0,0,0.2,0,0,0
hoping teach years new evaluation policies fear retirement issues feeling constantly threatened don t lose job feel need leave,3,0.594,0,0.053,0,0.053,0.105,0.105,0.105
approaching narnia frame mind want depressing feel suspicious inner character briefly question reason,3,0.406,0,0,0,0,0.077,0,0.077
m feeling shaken,3,0.094,0,0,0,0,0,0,0
present faithful friend difficult exam periods day m feeling little indecisive bored,3,0.375,0,0,0,0.25,0,0,0
m feeling way apprehensive internet person showing,3,0.219,0,0,0,0,0,0,0.143
told friends maybe t close don t want feel uncomfortable anymore,3,0.344,0,0,0,0.182,0,0,0
forgot mention past couple weeks babys getting hiccups multiple times day feels weird,3,0.406,0,0,0,0.077,0,0,0
m uncomfortable feeling amp unsure,3,0.156,0,0,0,0,0,0,0
feel repeat step day meet people cona ask want achieve idea uncertain looking marcha,3,0.438,0,0.071,0,0.071,0,0,0
feel like toepick ice m going backwards m going flying m hesitant,3,0.375,0,0,0,0.083,0,0,0
nt sure contractions stop abruptly kate feeling uncertain,3,0.25,0,0,0,0,0,0,0
resolved ask help need continue vocal feeling overwhelmed,3,0.25,0,0,0,0,0.125,0,0
exam drawing near wanted prepare lot things time prepare exams sat study scared able finish,3,0.469,0,0,0,0,0,0.067,0.067
d great description kids feel shy,3,0.188,0,0,0,0.333,0,0,0
wake feeling simultaneously restless bored,3,0.156,0,0,0,0,0,0,0
continued cut food began feel frightened eat,3,0.219,0,0,0,0,0.143,0,0.143
m feeling pretty apprehensive adjuster nt know alfa romeo spider quadrifoglio nick walked office,3,0.438,0,0.071,0,0,0,0,0.143
understand feeling wanting terrified time,3,0.156,0,0,0,0,0,0,0.2
feel restless entirely unmotivated life,3,0.156,0,0,0,0,0,0,0
thought house fire night,3,0.125,0,0.25,0,0,0,0,0.25
came away exam feeling unsure d felt little went assumed second road,3,0.375,0,0.083,0,0,0,0,0
read enemies believers perish feel distressed,3,0.188,0,0,0,0,0.333,0.167,0.5
time necessarily energy little experience role playing feel sceptical gm,3,0.312,0,0,0,0.1,0,0,0
want work constantly wanting leave constantly feeling overwhelmed stress,3,0.281,0,0,0,0,0.111,0,0.111
feel unsure little practice,3,0.125,0,0,0,0,0,0,0
ve discovered crew reached ages possible track feeling frantic time,3,0.312,0,0,0,0,0,0,0.1
feel paranoid mother mode destroy,3,0.156,0,0,0,0,0.2,0.2,0.4
feel neurotic life think entitled,3,0.156,0,0,0,0,0,0,0.2
feel distressed,3,0.062,0,0,0,0,0.5,0,0.5
feel nervous asking,3,0.094,0,0,0,0,0,0,0.333
supposed studying feeling restless nt wait exams,3,0.219,0,0,0,0,0,0,0
feel doubtful nt help oh teeny tiny speck hope,3,0.281,0,0,0,0.111,0,0,0
know m sad s fun innocent people die hands lunatic place hands deadly gun harmless stress ball work issues aren t feeling distraught shooting sandy hook,3,0.812,0,0,0,0.038,0.192,0.154,0.231
hate feeling insecure,3,0.094,0,0,0,0,0.667,0.333,0.333
feel pretty shaky know path leads today m able prefer shakiness,3,0.344,0,0.091,0,0,0,0,0
ve feeling little apprehensive going outdoors little p know,3,0.281,0,0,0,0,0,0,0.111
feel hesitant cause going leaving friends atlanta,3,0.219,0,0,0,0.143,0,0,0
nt day time boarding plane checking passengers plane feel twinge anxiety saw suspicious men turbans,3,0.469,0,0.067,0,0,0.067,0,0.067
feel paranoid cause think stain dress,3,0.188,0,0,0,0,0,0,0.167
feel compassion helping hand sense proximity distressed use kind gesture,3,0.312,0,0,0,0.1,0.1,0,0.1
feel confused mood ring paranoid bi polar schizophrenic chameleon bag skittles,3,0.344,0,0,0,0,0,0,0.091
know exactly feel dog died month distraught got walked away comment,3,0.344,0,0.091,0,0,0.182,0,0.091
feel paranoid m gon na cut hours frequencies wearing contact lenses,3,0.344,0,0.091,0,0,0,0,0.091
don t want feel pressured,3,0.156,0,0,0,0,0,0,0
m topamax day half feel agitated,3,0.188,0,0.167,0,0,0,0.167,0
took deep breath went kitchen coffee earl grey tea feeling bit agitated caffeine,3,0.406,0,0,0,0,0,0.077,0
feeling apprehensive able exchange,3,0.125,0,0,0,0,0,0,0.25
feel messed unsure inadequate,3,0.125,0,0,0,0,0,0,0
cleaning pile junk house,3,0.125,0,0,0,0,0,0,0
feel unsure m getting,3,0.125,0,0,0,0,0,0,0
feel restless need explore stimulated new cultures new foods new people new views,3,0.406,0,0,0,0,0,0,0
mean feel kinda wimpy going fo,3,0.188,0,0,0,0,0,0,0
feel feels insecure initially appears plus size elder sister beautiful adept political affairs fact knows destiny bearer godstone adds self doubt,3,0.656,0,0,0,0.048,0.048,0,0
teen feel shy bugled seeing nude,3,0.188,0,0,0,0,0,0,0
looking forward sunday feeling little nervous,3,0.188,0,0.167,0,0,0,0,0.167
currently feel like crap face work lest suspicious ringing sick day holidays,3,0.375,0,0.083,0,0.167,0.083,0,0.083
felt ot feel scared,3,0.125,0,0,0,0,0,0.25,0.25
attacked knife,3,0.062,0,0,0,0,0.5,0.5,0.5
feel hesitant report,3,0.094,0,0,0,0,0,0,0
forgive accepted allowed create emotional connection people look order able use emotion feel relationship self interest threatened friendship,3,0.562,0,0,0,0.111,0,0.056,0.056
feel confused channel knowledge practical creative spiritual indonesia,3,0.25,0,0,0,0,0,0,0
feeling bit shy lately,3,0.125,0,0,0,0,0,0,0
going honest feeling little anxious,3,0.156,0,0,0,0,0,0,0.2
feel like m assaulted car salesmen instead job recruiters,3,0.281,0,0,0,0.111,0,0.111,0.111
feeling frantic,3,0.062,0,0,0,0,0,0,0.5
grab book find start read feel restless ineffectual,3,0.25,0,0,0,0,0,0.125,0
ask lot questions feel nervous eating supposedly gluten free places oddly calm,3,0.375,0,0,0,0.083,0,0,0.083
feel unsure future,3,0.094,0,0,0,0,0,0,0
able feel outside couple weeks like b s kind shy batman tries feel,3,0.406,0,0.077,0,0.154,0,0,0
feel pressured sure assignments written best,3,0.188,0,0,0,0,0,0,0
nt feel scared surprised witnessing men visually interact,3,0.25,0,0,0,0.125,0,0.125,0.125
guess feel residents cookietown way report suspicious activities anonymously help cut pastry trafficking,3,0.406,0,0,0,0,0,0,0
remember feeling anxious lived city,3,0.156,0,0,0,0,0,0,0.2
feel alarmed fearful state world food eat felt gently guided understand step eat clean great step forward,3,0.531,0,0,0,0.059,0.059,0.059,0.118
sat feeling weird feeling moments later leader called wind switch roles,3,0.344,0,0,0,0,0,0,0
feel teachers reluctant additional responsibility working technology day day teaching,3,0.312,0,0.1,0,0,0,0,0
feel little terrified easily spent,3,0.156,0,0,0,0,0,0,0.2
wasn t writing feel restless,3,0.156,0,0,0,0,0,0,0
called company s human resources department asked yunho s address received reply sweat thought people feel suspicious ask questions,3,0.594,0,0,0,0,0.053,0,0
shout kids feel like husband afraid,3,0.188,0,0,0,0.333,0,0.167,0.167
feel paranoid work,3,0.094,0,0,0,0,0,0,0.333
